id,date,produit,categorie,region,montant,quantite
36,2024-03-08,Guide Python,Livres,Bretagne,208.97,10
37,2024-04-07,Sneakers Urban,Vêtements,Occitanie,69.98,2
38,2024-07-29,BD Manga,Livres,Occitanie,200.31,8
39,2024-11-26,Webcam HD,Électronique,PACA,224.55,2
40,2024-04-08,Lampe LED,Maison,Auvergne-Rhône-Alpes,112.9,4
41,2024-05-22,Sneakers Urban,Vêtements,Auvergne-Rhône-Alpes,323.94,8
42,2024-02-20,Tablette 10,Électronique,Bretagne,183.26,1
43,2024-03-26,Laptop Pro,Électronique,Auvergne-Rhône-Alpes,1142.94,7
44,2024-03-25,Sneakers Urban,Vêtements,Île-de-France,221.04,7
45,2024-05-26,BD Manga,Livres,Occitanie,158.42,7
46,2024-05-31,Guide Python,Livres,Auvergne-Rhône-Alpes,106.2,4
47,2024-01-30,Webcam HD,Électronique,Nouvelle-Aquitaine,175.1,1
48,2024-02-11,T-shirt Coton,Vêtements,Bretagne,101.9,3
49,2024-07-25,Webcam HD,Électronique,Auvergne-Rhône-Alpes,435.98,2
50,2024-01-21,Écharpe Laine,Vêtements,Bretagne,344.51,10
51,2024-12-08,Tasse Design,Maison,Auvergne-Rhône-Alpes,133.64,6
52,2024-11-26,Guide Python,Livres,PACA,95.92,5
53,2024-11-14,Laptop Pro,Électronique,Occitanie,2245.32,10
54,2024-09-16,Clé USB 64Go,Électronique,Auvergne-Rhône-Alpes,604.47,5
55,2024-07-08,Lampe LED,Maison,Auvergne-Rhône-Alpes,103.27,5
56,2024-09-27,Cadre Photo,Maison,PACA,30.86,1
57,2024-05-15,Lampe LED,Maison,Auvergne-Rhône-Alpes,70.59,2
58,2024-11-05,Veste Sport,Vêtements,Nouvelle-Aquitaine,229.34,4
59,2024-09-07,Veste Sport,Vêtements,Bretagne,320.46,5
60,2024-08-04,Laptop Pro,Électronique,PACA,551.45,5
61,2024-05-14,Coussin Déco,Maison,PACA,96.97,3
62,2024-02-27,Atlas Monde,Livres,Île-de-France,52.42,2
63,2024-07-08,Écharpe Laine,Vêtements,Île-de-France,513.91,10
64,2024-06-06,Guide Python,Livres,Île-de-France,153.27,6
65,2024-12-15,Casque Audio,Électronique,Auvergne-Rhône-Alpes,740.13,4
66,2024-11-13,Cadre Photo,Maison,Occitanie,108.05,3
67,2024-07-30,Jean Slim,Vêtements,Auvergne-Rhône-Alpes,37.96,1
68,2024-05-07,Plante Verte,Maison,PACA,103.42,5
69,2024-08-28,Tablette 10,Électronique,Île-de-France,515.79,4
70,2024-04-26,BD Manga,Livres,Nouvelle-Aquitaine,51.76,4
71,2024-05-22,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,132.62,2
72,2024-09-17,Tasse Design,Maison,PACA,217.63,7
73,2024-05-13,Lampe LED,Maison,Île-de-France,87.34,3
74,2024-11-01,Lampe LED,Maison,Île-de-France,170.9,7
75,2024-09-18,Plante Verte,Maison,Bretagne,50.41,2
76,2024-12-28,Veste Sport,Vêtements,Île-de-France,220.93,7
77,2024-02-05,Veste Sport,Vêtements,Occitanie,323.6,6
78,2024-09-16,Webcam HD,Électronique,Nouvelle-Aquitaine,925.14,5
79,2024-05-31,Plante Verte,Maison,PACA,180.41,9
80,2024-03-30,Livre Cuisine,Livres,PACA,207.95,10
81,2024-06-04,Atlas Monde,Livres,Île-de-France,78.13,5
82,2024-08-14,Plante Verte,Maison,Occitanie,110.89,4
83,2024-09-20,T-shirt Coton,Vêtements,Nouvelle-Aquitaine,435.67,10
84,2024-04-11,Veste Sport,Vêtements,Auvergne-Rhône-Alpes,97.14,3
85,2024-02-07,Sneakers Urban,Vêtements,Bretagne,371.36,8
86,2024-07-23,Sneakers Urban,Vêtements,Occitanie,147.25,4
87,2024-04-22,Laptop Pro,Électronique,Occitanie,604.48,3
88,2024-05-07,Roman Policier,Livres,Bretagne,38.35,2
89,2024-10-31,Atlas Monde,Livres,Bretagne,157.68,6
90,2024-09-15,Atlas Monde,Livres,PACA,171.92,7
91,2024-08-31,Guide Python,Livres,PACA,130.66,8
92,2024-09-05,Veste Sport,Vêtements,Bretagne,165.54,4
93,2024-04-30,Webcam HD,Électronique,Nouvelle-Aquitaine,726.51,5
94,2024-04-28,Smartphone X,Électronique,Auvergne-Rhône-Alpes,1317.92,7
95,2024-07-27,T-shirt Coton,Vêtements,Occitanie,306.2,6
96,2024-08-03,Roman Policier,Livres,Auvergne-Rhône-Alpes,179.41,7
97,2024-09-01,Clé USB 64Go,Électronique,Occitanie,218.13,1
98,2024-10-02,Plante Verte,Maison,Occitanie,301.48,9
99,2024-05-19,Sneakers Urban,Vêtements,Auvergne-Rhône-Alpes,342.88,7
100,2024-12-13,BD Manga,Livres,PACA,161.2,7
101,2024-09-30,Guide Python,Livres,Bretagne,25.66,1
102,2024-08-07,Laptop Pro,Électronique,PACA,627.07,3
103,2024-07-13,T-shirt Coton,Vêtements,Nouvelle-Aquitaine,234.72,6
104,2024-05-22,Tasse Design,Maison,Occitanie,157.82,7
105,2024-10-03,Tablette 10,Électronique,Île-de-France,224.99,1
106,2024-02-05,Coussin Déco,Maison,PACA,32.58,1
107,2024-11-14,Jean Slim,Vêtements,Île-de-France,120.26,3
108,2024-04-21,Roman Policier,Livres,Bretagne,181.38,8
109,2024-11-06,Coussin Déco,Maison,Bretagne,66.11,2
110,2024-10-23,Veste Sport,Vêtements,Île-de-France,64.94,1
111,2024-04-11,Livre Cuisine,Livres,PACA,42.25,2
112,2024-06-03,T-shirt Coton,Vêtements,PACA,604.99,10
113,2024-08-07,Casque Audio,Électronique,Bretagne,679.65,6
114,2024-09-07,Lampe LED,Maison,Occitanie,52.34,2
115,2024-03-19,Plante Verte,Maison,PACA,147.16,7
116,2024-09-04,Cadre Photo,Maison,Bretagne,209.69,8
117,2024-02-14,Tasse Design,Maison,Auvergne-Rhône-Alpes,175.66,5
118,2024-11-08,Sneakers Urban,Vêtements,Bretagne,305.27,7
119,2024-09-06,BD Manga,Livres,Auvergne-Rhône-Alpes,70.84,4
120,2024-11-01,Tasse Design,Maison,Nouvelle-Aquitaine,143.08,5
121,2024-07-27,T-shirt Coton,Vêtements,Auvergne-Rhône-Alpes,411.89,8
122,2024-12-30,Sneakers Urban,Vêtements,PACA,381.07,8
123,2024-04-23,Laptop Pro,Électronique,Nouvelle-Aquitaine,1316.1,7
124,2024-08-30,Cadre Photo,Maison,Nouvelle-Aquitaine,253.07,9
125,2024-06-29,Atlas Monde,Livres,Nouvelle-Aquitaine,132.01,8
126,2024-04-08,Coussin Déco,Maison,Île-de-France,119.35,6
127,2024-09-04,Jean Slim,Vêtements,Auvergne-Rhône-Alpes,287.93,5
128,2024-05-31,Lampe LED,Maison,Auvergne-Rhône-Alpes,98.87,4
129,2024-09-30,Lampe LED,Maison,PACA,68.96,3
130,2024-12-23,Clé USB 64Go,Électronique,Nouvelle-Aquitaine,544.63,3
131,2024-10-20,Roman Policier,Livres,Île-de-France,96.8,5
132,2024-01-27,BD Manga,Livres,Auvergne-Rhône-Alpes,130.76,5
133,2024-07-24,Roman Policier,Livres,Île-de-France,109.33,8
134,2024-10-15,Smartphone X,Électronique,Auvergne-Rhône-Alpes,576.11,5
135,2024-08-01,T-shirt Coton,Vêtements,Bretagne,529.61,10
136,2024-08-18,Écharpe Laine,Vêtements,Occitanie,337.64,8
137,2024-11-13,BD Manga,Livres,Bretagne,21.38,1
138,2024-04-18,Smartphone X,Électronique,PACA,921.26,5
139,2024-10-09,Jean Slim,Vêtements,Auvergne-Rhône-Alpes,74.27,2
140,2024-10-31,Livre Cuisine,Livres,PACA,134.35,8
141,2024-05-24,Veste Sport,Vêtements,PACA,272.5,8
142,2024-10-28,Veste Sport,Vêtements,PACA,187.22,4
143,2024-03-13,Jean Slim,Vêtements,Nouvelle-Aquitaine,67.29,2
144,2024-10-18,Cadre Photo,Maison,PACA,131.42,5
145,2024-07-25,BD Manga,Livres,PACA,99.03,5
146,2024-11-02,Livre Cuisine,Livres,Île-de-France,25.41,1
147,2024-01-14,Cadre Photo,Maison,Nouvelle-Aquitaine,44.16,2
148,2024-10-22,Webcam HD,Électronique,Nouvelle-Aquitaine,196.57,1
149,2024-11-29,Sneakers Urban,Vêtements,Bretagne,515.83,8
150,2024-11-21,Écharpe Laine,Vêtements,Occitanie,531.09,8
151,2024-06-19,BD Manga,Livres,Occitanie,133.5,6
152,2024-12-21,Veste Sport,Vêtements,Occitanie,335.01,8
153,2024-08-20,Atlas Monde,Livres,Île-de-France,34.26,2
154,2024-09-20,Lampe LED,Maison,Occitanie,30.65,1
155,2024-04-06,Livre Cuisine,Livres,Île-de-France,160.29,9
156,2024-04-14,Livre Cuisine,Livres,Île-de-France,102.54,5
157,2024-09-05,Plante Verte,Maison,PACA,36.15,2
158,2024-10-09,Jean Slim,Vêtements,Nouvelle-Aquitaine,51.38,1
159,2024-08-24,Smartphone X,Électronique,Île-de-France,365.45,2
160,2024-05-29,Sneakers Urban,Vêtements,PACA,512.05,9
161,2024-05-04,Livre Cuisine,Livres,Occitanie,164.31,8
162,2024-09-17,Guide Python,Livres,Bretagne,75.13,3
163,2024-09-16,Plante Verte,Maison,Nouvelle-Aquitaine,169.55,5
164,2024-10-23,Tasse Design,Maison,Bretagne,278.44,8
165,2024-06-25,Atlas Monde,Livres,Occitanie,123.29,6
166,2024-04-06,Livre Cuisine,Livres,Nouvelle-Aquitaine,83.34,4
167,2024-06-11,Sneakers Urban,Vêtements,Île-de-France,455.11,8
168,2024-11-29,Livre Cuisine,Livres,PACA,59.2,3
169,2024-10-29,Smartphone X,Électronique,Bretagne,1256.18,6
170,2024-08-21,Roman Policier,Livres,Bretagne,23.0,1
171,2024-08-28,Guide Python,Livres,Île-de-France,87.38,5
172,2024-12-11,Roman Policier,Livres,Nouvelle-Aquitaine,162.65,9
173,2024-01-19,Plante Verte,Maison,Bretagne,188.68,10
174,2024-02-16,Coussin Déco,Maison,PACA,259.47,7
175,2024-12-21,Tablette 10,Électronique,Auvergne-Rhône-Alpes,1067.05,5
176,2024-05-30,Casque Audio,Électronique,Île-de-France,899.89,6
177,2024-07-29,Jean Slim,Vêtements,Bretagne,560.45,10
178,2024-02-10,Jean Slim,Vêtements,Auvergne-Rhône-Alpes,628.5,10
179,2024-03-14,Sneakers Urban,Vêtements,Bretagne,192.41,4
180,2024-12-07,Plante Verte,Maison,Nouvelle-Aquitaine,35.48,1
181,2024-10-06,BD Manga,Livres,PACA,40.99,3
182,2024-11-23,Cadre Photo,Maison,Nouvelle-Aquitaine,219.14,7
183,2024-07-15,BD Manga,Livres,Auvergne-Rhône-Alpes,113.09,8
184,2024-10-21,Atlas Monde,Livres,Nouvelle-Aquitaine,134.47,5
185,2024-07-21,Lampe LED,Maison,PACA,88.31,5
186,2024-09-11,Clé USB 64Go,Électronique,PACA,990.44,5
187,2024-04-22,Écharpe Laine,Vêtements,Nouvelle-Aquitaine,215.41,4
188,2024-11-26,T-shirt Coton,Vêtements,PACA,42.62,1
189,2024-07-05,Roman Policier,Livres,Bretagne,41.69,3
190,2024-07-31,Tasse Design,Maison,PACA,64.55,3
191,2024-05-19,Cadre Photo,Maison,Bretagne,67.92,3
192,2024-06-22,BD Manga,Livres,PACA,38.69,2
193,2024-12-12,Smartphone X,Électronique,Auvergne-Rhône-Alpes,1547.51,7
194,2024-01-08,Lampe LED,Maison,Occitanie,141.16,5
195,2024-12-10,BD Manga,Livres,PACA,105.09,5
196,2024-04-29,Lampe LED,Maison,PACA,144.0,8
197,2024-11-27,Cadre Photo,Maison,Auvergne-Rhône-Alpes,60.42,2
198,2024-07-28,BD Manga,Livres,PACA,29.23,2
199,2024-02-29,Casque Audio,Électronique,Occitanie,266.35,2
200,2024-07-08,Sneakers Urban,Vêtements,Occitanie,419.3,9
201,2024-02-20,Sneakers Urban,Vêtements,PACA,429.31,8
202,2024-07-08,Lampe LED,Maison,PACA,105.47,4
203,2024-12-17,Veste Sport,Vêtements,Île-de-France,306.6,6
204,2024-05-21,Lampe LED,Maison,Occitanie,147.46,4
205,2024-04-18,Roman Policier,Livres,PACA,265.84,10
206,2024-03-05,Casque Audio,Électronique,Auvergne-Rhône-Alpes,1296.25,10
207,2024-04-29,Écharpe Laine,Vêtements,Auvergne-Rhône-Alpes,356.26,6
208,2024-03-07,Casque Audio,Électronique,Auvergne-Rhône-Alpes,1215.71,9
209,2024-01-14,T-shirt Coton,Vêtements,PACA,96.1,3
210,2024-01-09,Écharpe Laine,Vêtements,Nouvelle-Aquitaine,123.16,3
211,2024-02-28,Sneakers Urban,Vêtements,Bretagne,97.29,2
212,2024-02-25,Cadre Photo,Maison,Bretagne,220.61,8
213,2024-09-23,Webcam HD,Électronique,PACA,799.83,5
214,2024-07-24,Laptop Pro,Électronique,Occitanie,1311.32,7
215,2024-02-11,Livre Cuisine,Livres,Île-de-France,128.16,6
216,2024-11-15,Smartphone X,Électronique,Nouvelle-Aquitaine,1708.03,10
217,2024-09-28,Plante Verte,Maison,Bretagne,132.87,5
218,2024-02-28,Roman Policier,Livres,PACA,206.82,9
219,2024-04-26,Sneakers Urban,Vêtements,Occitanie,305.91,7
220,2024-02-18,Livre Cuisine,Livres,Occitanie,112.47,6
221,2024-12-17,Tasse Design,Maison,Auvergne-Rhône-Alpes,150.74,8
222,2024-02-19,Laptop Pro,Électronique,Occitanie,1214.47,6
223,2024-10-14,Clé USB 64Go,Électronique,Bretagne,1112.41,6
224,2024-08-04,BD Manga,Livres,PACA,26.54,1
225,2024-10-22,Tasse Design,Maison,Île-de-France,195.79,9
226,2024-06-28,Guide Python,Livres,Île-de-France,161.04,9
227,2024-08-07,Cadre Photo,Maison,Auvergne-Rhône-Alpes,332.92,9
228,2024-12-21,Clé USB 64Go,Électronique,PACA,542.37,5
229,2024-06-28,Tasse Design,Maison,Nouvelle-Aquitaine,21.13,1
230,2024-07-24,Écharpe Laine,Vêtements,PACA,73.21,2
231,2024-09-28,Laptop Pro,Électronique,PACA,600.57,4
232,2024-07-08,BD Manga,Livres,Auvergne-Rhône-Alpes,114.95,5
233,2024-03-21,Laptop Pro,Électronique,Auvergne-Rhône-Alpes,1109.71,10
234,2024-12-04,Casque Audio,Électronique,Occitanie,1142.96,7
235,2024-04-20,Livre Cuisine,Livres,Nouvelle-Aquitaine,128.15,9
236,2024-12-13,Roman Policier,Livres,Nouvelle-Aquitaine,196.08,10
237,2024-07-21,Lampe LED,Maison,Auvergne-Rhône-Alpes,185.96,10
238,2024-03-11,Veste Sport,Vêtements,Auvergne-Rhône-Alpes,209.6,5
239,2024-08-08,Laptop Pro,Électronique,Occitanie,361.51,3
240,2024-12-08,Écharpe Laine,Vêtements,Bretagne,204.57,6
241,2024-08-23,Tablette 10,Électronique,Île-de-France,416.91,2
242,2024-12-29,Atlas Monde,Livres,Occitanie,117.38,7
243,2024-03-28,Roman Policier,Livres,Nouvelle-Aquitaine,192.25,10
244,2024-02-24,Lampe LED,Maison,Occitanie,104.85,4
245,2024-07-21,Atlas Monde,Livres,Île-de-France,116.7,5
246,2024-02-09,Veste Sport,Vêtements,Auvergne-Rhône-Alpes,488.66,9
247,2024-11-26,Veste Sport,Vêtements,Nouvelle-Aquitaine,120.02,3
248,2024-03-29,Veste Sport,Vêtements,Auvergne-Rhône-Alpes,370.03,10
249,2024-09-09,Smartphone X,Électronique,PACA,1564.27,8
250,2024-11-21,Atlas Monde,Livres,PACA,172.54,10
251,2024-02-04,Coussin Déco,Maison,Occitanie,210.75,8
252,2024-01-29,Tasse Design,Maison,Bretagne,165.88,6
253,2024-01-20,Plante Verte,Maison,Occitanie,24.87,1
254,2024-02-16,Lampe LED,Maison,PACA,293.82,10
255,2024-10-10,Livre Cuisine,Livres,Bretagne,19.08,1
256,2024-08-31,Veste Sport,Vêtements,Bretagne,332.38,9
257,2024-06-24,Tablette 10,Électronique,Île-de-France,331.09,2
258,2024-12-28,T-shirt Coton,Vêtements,Auvergne-Rhône-Alpes,537.4,8
259,2024-05-24,Veste Sport,Vêtements,Nouvelle-Aquitaine,323.51,7
260,2024-11-19,Cadre Photo,Maison,Île-de-France,112.91,6
261,2024-07-16,Clé USB 64Go,Électronique,PACA,676.2,5
262,2024-10-25,Veste Sport,Vêtements,Île-de-France,193.51,3
263,2024-10-31,Plante Verte,Maison,Auvergne-Rhône-Alpes,47.38,2
264,2024-12-09,BD Manga,Livres,Auvergne-Rhône-Alpes,125.51,9
265,2024-01-10,Atlas Monde,Livres,Nouvelle-Aquitaine,102.29,6
266,2024-04-08,Veste Sport,Vêtements,Occitanie,270.0,4
267,2024-02-21,T-shirt Coton,Vêtements,Nouvelle-Aquitaine,533.26,9
268,2024-11-12,Webcam HD,Électronique,Nouvelle-Aquitaine,530.01,3
269,2024-12-20,Jean Slim,Vêtements,Auvergne-Rhône-Alpes,606.26,10
270,2024-07-29,Sneakers Urban,Vêtements,Île-de-France,335.09,6
271,2024-05-25,Sneakers Urban,Vêtements,Bretagne,319.39,8
272,2024-04-09,Veste Sport,Vêtements,Occitanie,335.51,6
273,2024-07-14,Livre Cuisine,Livres,Nouvelle-Aquitaine,181.76,9
274,2024-03-11,Jean Slim,Vêtements,Bretagne,166.89,5
275,2024-02-22,BD Manga,Livres,Bretagne,223.71,9
276,2024-05-19,Lampe LED,Maison,Auvergne-Rhône-Alpes,284.85,8
277,2024-04-23,Sneakers Urban,Vêtements,Île-de-France,506.77,8
278,2024-07-21,Tablette 10,Électronique,Île-de-France,1348.88,9
279,2024-04-24,Roman Policier,Livres,Nouvelle-Aquitaine,17.19,1
280,2024-06-20,Webcam HD,Électronique,PACA,364.54,3
281,2024-03-12,Plante Verte,Maison,PACA,211.78,8
282,2024-05-11,Laptop Pro,Électronique,Île-de-France,820.78,4
283,2024-05-01,Roman Policier,Livres,Nouvelle-Aquitaine,71.77,5
284,2024-11-14,Sneakers Urban,Vêtements,PACA,270.09,8
285,2024-01-09,Atlas Monde,Livres,Bretagne,187.93,9
286,2024-01-01,Veste Sport,Vêtements,Occitanie,442.01,10
287,2024-12-08,Guide Python,Livres,PACA,40.28,2
288,2024-10-05,Lampe LED,Maison,Bretagne,299.05,9
289,2024-01-23,Tablette 10,Électronique,Occitanie,1559.07,7
290,2024-02-04,Lampe LED,Maison,Nouvelle-Aquitaine,133.94,6
291,2024-06-19,Clé USB 64Go,Électronique,PACA,330.96,3
292,2024-08-25,Coussin Déco,Maison,PACA,241.08,8
293,2024-08-22,T-shirt Coton,Vêtements,PACA,42.06,1
294,2024-06-10,Smartphone X,Électronique,Île-de-France,834.23,5
295,2024-11-27,BD Manga,Livres,Île-de-France,66.88,4
296,2024-05-19,Webcam HD,Électronique,Nouvelle-Aquitaine,401.84,2
297,2024-08-13,Livre Cuisine,Livres,PACA,122.37,7
298,2024-09-11,Sneakers Urban,Vêtements,PACA,388.65,6
299,2024-08-05,Lampe LED,Maison,PACA,52.22,2
300,2024-06-13,Écharpe Laine,Vêtements,Nouvelle-Aquitaine,68.76,2
301,2024-11-04,Tasse Design,Maison,Occitanie,145.83,7
302,2024-01-22,BD Manga,Livres,Occitanie,128.72,6
303,2024-01-30,BD Manga,Livres,PACA,44.53,2
304,2024-12-13,BD Manga,Livres,Bretagne,78.96,3
305,2024-08-12,Écharpe Laine,Vêtements,PACA,36.04,1
306,2024-07-15,Veste Sport,Vêtements,Nouvelle-Aquitaine,326.66,10
307,2024-07-09,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,471.77,8
308,2024-07-22,Écharpe Laine,Vêtements,Nouvelle-Aquitaine,329.31,6
309,2024-04-05,T-shirt Coton,Vêtements,Île-de-France,401.11,8
310,2024-12-26,Casque Audio,Électronique,Nouvelle-Aquitaine,1045.99,8
311,2024-03-03,Plante Verte,Maison,Auvergne-Rhône-Alpes,103.67,3
312,2024-08-15,Guide Python,Livres,PACA,48.54,2
313,2024-02-03,Tasse Design,Maison,PACA,255.09,9
314,2024-12-29,Coussin Déco,Maison,PACA,100.12,3
315,2024-03-12,T-shirt Coton,Vêtements,Auvergne-Rhône-Alpes,239.81,4
316,2024-10-20,Casque Audio,Électronique,Bretagne,966.53,6
317,2024-02-03,Écharpe Laine,Vêtements,Île-de-France,229.17,5
318,2024-07-28,Atlas Monde,Livres,Occitanie,136.62,10
319,2024-08-26,Lampe LED,Maison,Occitanie,219.51,9
320,2024-09-14,Jean Slim,Vêtements,Occitanie,61.43,1
321,2024-03-23,Veste Sport,Vêtements,Auvergne-Rhône-Alpes,390.9,6
322,2024-05-25,Veste Sport,Vêtements,Bretagne,81.04,2
323,2024-06-04,Coussin Déco,Maison,PACA,281.7,10
324,2024-03-19,Écharpe Laine,Vêtements,Bretagne,165.64,3
325,2024-01-15,Cadre Photo,Maison,Île-de-France,36.82,2
326,2024-08-01,Coussin Déco,Maison,Bretagne,302.8,10
327,2024-11-24,Atlas Monde,Livres,Nouvelle-Aquitaine,97.77,5
328,2024-02-07,BD Manga,Livres,Occitanie,14.88,1
329,2024-04-14,Livre Cuisine,Livres,Occitanie,128.02,6
330,2024-06-25,Tasse Design,Maison,PACA,140.81,7
331,2024-02-24,Cadre Photo,Maison,Bretagne,134.01,6
332,2024-05-06,Casque Audio,Électronique,Occitanie,349.85,3
333,2024-08-02,Plante Verte,Maison,Bretagne,147.01,4
334,2024-06-09,Veste Sport,Vêtements,Bretagne,235.89,4
335,2024-09-12,Atlas Monde,Livres,Occitanie,98.81,5
336,2024-08-22,Tablette 10,Électronique,Bretagne,523.27,4
337,2024-05-24,Lampe LED,Maison,Île-de-France,235.6,8
338,2024-01-05,BD Manga,Livres,Bretagne,37.61,2
339,2024-07-06,Tasse Design,Maison,Occitanie,25.51,1
340,2024-05-27,Veste Sport,Vêtements,Bretagne,90.82,2
341,2024-11-15,Atlas Monde,Livres,Nouvelle-Aquitaine,143.11,10
342,2024-06-22,Tablette 10,Électronique,Nouvelle-Aquitaine,1959.06,9
343,2024-09-17,Jean Slim,Vêtements,Bretagne,346.52,7
344,2024-06-19,Laptop Pro,Électronique,Auvergne-Rhône-Alpes,1338.56,8
345,2024-03-12,Écharpe Laine,Vêtements,Bretagne,390.18,6
346,2024-11-11,Coussin Déco,Maison,Occitanie,146.87,5
347,2024-08-31,Atlas Monde,Livres,Nouvelle-Aquitaine,17.9,1
348,2024-06-06,Tablette 10,Électronique,Bretagne,176.63,1
349,2024-04-26,Cadre Photo,Maison,Bretagne,29.17,1
350,2024-11-13,Écharpe Laine,Vêtements,PACA,257.74,7
351,2024-12-24,T-shirt Coton,Vêtements,Bretagne,76.74,2
352,2024-03-18,BD Manga,Livres,Occitanie,157.8,7
353,2024-08-29,Atlas Monde,Livres,Bretagne,22.76,1
354,2024-12-05,Écharpe Laine,Vêtements,Nouvelle-Aquitaine,403.34,8
355,2024-09-29,Coussin Déco,Maison,Occitanie,170.55,6
356,2024-04-08,Cadre Photo,Maison,Occitanie,92.32,4
357,2024-05-27,Coussin Déco,Maison,Nouvelle-Aquitaine,125.22,4
358,2024-06-27,BD Manga,Livres,Occitanie,234.41,9
359,2024-10-20,Tasse Design,Maison,Île-de-France,225.84,9
360,2024-05-28,BD Manga,Livres,Auvergne-Rhône-Alpes,16.74,1
361,2024-12-01,Casque Audio,Électronique,Occitanie,973.4,5
362,2024-05-18,Jean Slim,Vêtements,Bretagne,509.06,9
363,2024-10-27,T-shirt Coton,Vêtements,Bretagne,160.91,4
364,2024-02-21,Jean Slim,Vêtements,Île-de-France,303.73,7
365,2024-03-11,Roman Policier,Livres,PACA,26.49,1
366,2024-08-31,Sneakers Urban,Vêtements,PACA,439.36,8
367,2024-11-26,Tasse Design,Maison,Nouvelle-Aquitaine,35.66,1
368,2024-04-28,Webcam HD,Électronique,Bretagne,1742.78,9
369,2024-03-31,Smartphone X,Électronique,Occitanie,224.66,1
370,2024-05-28,Livre Cuisine,Livres,Auvergne-Rhône-Alpes,12.73,1
371,2024-08-20,Casque Audio,Électronique,Nouvelle-Aquitaine,1511.26,9
372,2024-05-19,Écharpe Laine,Vêtements,Occitanie,242.47,4
373,2024-08-22,Coussin Déco,Maison,PACA,159.36,5
374,2024-05-31,Webcam HD,Électronique,Nouvelle-Aquitaine,1859.28,10
375,2024-11-23,Jean Slim,Vêtements,Bretagne,428.9,7
376,2024-12-08,Lampe LED,Maison,Occitanie,42.39,2
377,2024-05-07,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,40.89,1
378,2024-06-17,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,262.34,5
379,2024-07-03,Casque Audio,Électronique,PACA,449.82,4
380,2024-03-22,Tablette 10,Électronique,Nouvelle-Aquitaine,1311.3,7
381,2024-05-31,Lampe LED,Maison,PACA,178.76,6
382,2024-03-19,Jean Slim,Vêtements,Occitanie,467.35,8
383,2024-10-08,Plante Verte,Maison,PACA,261.18,8
384,2024-11-01,Jean Slim,Vêtements,PACA,100.84,2
385,2024-02-27,Lampe LED,Maison,Bretagne,34.08,1
386,2024-03-17,Écharpe Laine,Vêtements,Bretagne,129.94,3
387,2024-04-15,Roman Policier,Livres,PACA,196.39,10
388,2024-03-08,Roman Policier,Livres,Occitanie,167.24,9
389,2024-12-10,Clé USB 64Go,Électronique,Occitanie,958.97,5
